num_cpf_cnpj;cod_cooperativa;cod_agencia;cod_conta;num_plastico;dat_transacao;vlr_transacao;nom_modalidade;nom_cidade_estabelecimento
507366228964;331;11;90453;52194;03/06/2023 13:38:24;95,72;Crédito;CURITIBA
557421816337;331;11;18677;57395;03/06/2023 15:21:08;8,36;Crédito;PORTO ALEGRE
690702403582;331;11;72058;30071;03/06/2023 15:24:21;146,68;Crédito;NATAL
949239435165;331;19;75964;17196;03/06/2023 14:12:24;13,98;Crédito;GOIANIA
250561010390;331;11;93144;67877;03/06/2023 20:45:42;6,53;Crédito;ESTREITO
250561010390;331;11;93144;67877;03/06/2023 10:18:31;14,17;Crédito;ESTREITO
78254576062;331;11;32511;77260;03/06/2023 23:08:11;24,24;Crédito;ESTREITO
963407679166;331;11;14384;98572;03/06/2023 15:49:38;69,85;Crédito;CURITIBA
250561010390;331;11;93144;67877;03/06/2023 15:06:18;8,64;Crédito;PORTO ALEGRE
149061348282;331;11;31317;47849;03/06/2023 14:36:15;16,63;Crédito;PORTO ALEGRE
690702403582;331;19;36600;47194;03/06/2023 14:38:01;2,36;Crédito;ESTREITO
970976143348;331;11;93144;67877;03/06/2023 10:53:04;52,3;Crédito;CURITIBA
557421816337;331;11;61636;55229;03/06/2023 13:57:35;91,93;Crédito;GOIANIA
953033981511;331;11;93144;67877;03/06/2023 10:12:24;7,38;Crédito;ESTREITO
397103782377;331;11;32511;77260;03/06/2023 22:51:13;6,17;Crédito;CURITIBA
663988313885;331;11;93144;67877;03/06/2023 09:37:52;9,55;Crédito;ESTREITO
149061348282;331;11;93144;67877;03/06/2023 18:25:36;6,51;Crédito;ESTREITO
30004086836;331;12;57859;68354;03/06/2023 15:27:48;713,92;Crédito;CURITIBA
827045297905;331;15;44727;43086;03/06/2023 14:11:09;13,55;Crédito;ESTREITO
953033981511;331;11;72058;30071;03/06/2023 11:26:20;188,71;Crédito;NATAL
159131936071;331;11;54676;15631;03/06/2023 01:19:54;3,6;Crédito;ESTREITO
613085428546;331;11;18677;57395;03/06/2023 14:17:34;10,94;Crédito;PORTO ALEGRE
226774898261;331;11;34866;19102;03/06/2023 15:20:45;35,33;Crédito;NATAL
435221270977;331;11;93144;67877;03/06/2023 20:55:48;265,14;Crédito;PORTO ALEGRE
556114862652;331;11;72058;30071;03/06/2023 11:46:29;2,11;Crédito;NATAL
663988313885;331;11;93144;67877;03/06/2023 10:47:15;6,45;Crédito;ESTREITO
791659053970;331;11;93144;67877;03/06/2023 09:48:56;10,42;Crédito;ESTREITO
844736147031;331;15;44727;43086;03/06/2023 14:36:43;17,53;Crédito;ESTREITO
507366228964;331;11;90453;52194;03/06/2023 16:06:27;28,89;Crédito;BRASILIA
462260668192;331;15;64719;43098;03/06/2023 15:40:58;236,1;Crédito;ESTREITO
512766399194;331;11;54676;15631;03/06/2023 02:36:24;3,35;Crédito;ESTREITO
708488936962;331;11;93144;67877;03/06/2023 15:26:03;9,06;Crédito;ESTREITO
585224148692;331;11;93144;67877;03/06/2023 18:54:58;12,77;Crédito;ESTREITO
736156096495;331;19;14865;59049;03/06/2023 14:43:46;37,29;Crédito;BRASILIA
250561010390;331;11;93144;67877;03/06/2023 10:56:28;61,75;Crédito;CURITIBA
226774898261;331;16;22294;85722;03/06/2023 10:28:55;139,11;Crédito;CAMARGO
250561010390;331;11;93144;67877;03/06/2023 21:19:33;10,86;Crédito;ESTREITO
78254576062;331;11;32511;77260;03/06/2023 14:58:43;23,33;Crédito;PORTO ALEGRE
250561010390;331;11;93144;67877;03/06/2023 09:54:23;5,3;Crédito;ESTREITO
250561010390;331;11;93144;67877;03/06/2023 20:34:56;22,15;Crédito;ESTREITO
250561010390;331;11;93144;67877;03/06/2023 15:13:36;10,55;Crédito;ESTREITO
437707388040;331;11;54676;15631;03/06/2023 15:22:26;15,17;Crédito;OSASCO
78254576062;331;11;32511;77260;03/06/2023 14:10:32;20,15;Crédito;CURITIBA
250561010390;331;11;93144;67877;03/06/2023 14:20:03;4,95;Crédito;ESTREITO
217399138948;331;12;21769;30199;15/08/2023 21:02:16;45,55;Débito;BELO HORIZONTE
653411939252;331;04;58951;75618;03/06/2023 18:17:01;4,92;Débito;ESTREITO
811071765628;331;04;88150;37748;03/06/2023 17:28:24;36,28;Débito;ESTREITO
226241838191;640;16;62728;95674;15/08/2023 11:58:58;182,53;Débito;CURITIBA
613085428546;331;11;21401;97774;03/06/2023 01:44:34;29,71;Débito;CURITIBA
815059351930;640;15;51364;66508;15/08/2023 07:58:56;20,19;Débito;RIO DE JANEIRO
614762168976;331;11;77060;43299;03/06/2023 14:03:48;46,23;Débito;PORTO ALEGRE
193417607441;640;19;29025;64098;03/06/2023 18:55:28;55,27;Débito;VITORIA
811071765628;331;04;88150;37748;03/06/2023 17:20:00;42,91;Débito;PORTO ALEGRE
571465324078;640;15;39950;75683;15/08/2023 15:31:14;3,83;Débito;RIO DE JANEIRO
845839476038;640;19;32782;99944;03/06/2023 21:07:33;70,48;Débito;VITORIA
970976143348;331;11;6680;4041;03/06/2023 15:16:46;8,17;Débito;PORTO ALEGRE
771648168185;331;19;95341;75447;03/06/2023 14:04:53;16,98;Débito;JURUENA
437237210374;640;15;60605;9908;03/06/2023 15:45:57;35,86;Débito;OSASCO
851961098507;640;19;73801;83626;15/08/2023 19:54:01;15,36;Débito;VITORIA
664055155875;640;15;71580;20300;15/08/2023 12:39:59;53,19;Débito;CAMPO GRANDE
100668978497;640;19;42684;51009;15/08/2023 23:01:06;25,86;Débito;VITORIA
547976863994;640;19;66708;16875;03/06/2023 16:31:41;66,45;Débito;VITORIA
547976863994;640;19;66708;16875;15/08/2023 17:07:41;45,28;Débito;VITORIA
613085428546;331;11;21401;97774;03/06/2023 14:49:54;7,03;Débito;SAO PAULO
811071765628;331;04;88150;37748;03/06/2023 15:00:47;8,68;Débito;ESTREITO
963407679166;331;11;5897;26399;03/06/2023 14:56:13;10,78;Débito;PORTO ALEGRE
556114862652;640;19;32782;99944;03/06/2023 22:03:17;12,37;Débito;VITORIA
547976863994;331;11;6680;4041;03/06/2023 21:35:19;33,46;Débito;PORTO ALEGRE
557421816337;640;19;30676;13040;03/06/2023 09:04:33;96,07;Débito;VITORIA
613085428546;640;15;51364;66508;15/08/2023 23:36:33;12,43;Débito;OSASCO
613085428546;331;19;95341;75447;03/06/2023 17:32:38;16,35;Débito;BRASILIA
963407679166;640;15;17511;91217;03/06/2023 00:14:29;47,85;Débito;RIO DE JANEIRO
324190386634;331;11;5897;26399;03/06/2023 15:05:47;7,78;Débito;PORTO ALEGRE
30004086836;331;15;89308;26849;15/08/2023 20:22:39;28,23;Débito;BELEM
851428470824;640;12;26579;97834;15/08/2023 13:51:20;10,03;Débito;SAO PAULO
963407679166;640;15;51364;66508;15/08/2023 23:12:27;41,62;Débito;OSASCO
774724913912;331;11;39691;98564;03/06/2023 21:13:03;1,89;Débito;PORTO ALEGRE
663988313885;331;19;95341;75447;03/06/2023 05:23:05;11,75;Débito;JURUENA
963407679166;331;12;71923;60881;03/06/2023 13:39:20;20,81;Débito;BELO HORIZONTE
742021665379;640;15;17511;91217;03/06/2023 00:11:20;47,36;Débito;RIO DE JANEIRO
742021665379;640;19;30676;13040;03/06/2023 15:32:48;422,16;Débito;VITORIA
177919269646;640;19;14552;82932;15/08/2023 08:57:48;303,05;Débito;VITORIA
814878020990;331;04;36402;47637;03/06/2023 20:45:03;28,59;Débito;ESTREITO
929057698602;640;19;30676;13040;03/06/2023 16:33:28;42,25;Débito;VITORIA
250561010390;640;19;14552;82932;15/08/2023 08:13:27;39,93;Débito;VITORIA
437707388040;331;11;21401;97774;03/06/2023 10:39:17;3,27;Débito;BARREIRAS
585224148692;523;15;24608;71226;15/08/2023 12:58:29;14,7;Débito;SALVADOR
791659053970;640;15;17511;91217;03/06/2023 00:11:03;54,99;Débito;RIO DE JANEIRO
970976143348;331;19;95341;75447;03/06/2023 05:42:58;13,19;Débito;JURUENA
56841977730;331;11;39691;98564;03/06/2023 14:25:52;3,41;Débito;PORTO ALEGRE
533657563587;331;04;88150;37748;03/06/2023 15:28:39;19,85;Débito;ESTREITO
149061348282;640;16;55919;27853;15/08/2023 18:01:11;30,7;Débito;BARREIRAS
930109302247;640;15;39950;75683;15/08/2023 16:18:59;32,6;Débito;RIO DE JANEIRO
844736147031;640;19;99094;64669;03/06/2023 15:35:57;194,22;Débito;VITORIA
557421816337;640;19;11174;90073;15/08/2023 11:12:20;136,31;Débito;VITORIA
774724913912;331;11;6680;4041;03/06/2023 15:31:19;3,42;Débito;PORTO ALEGRE
851428470824;640;12;25888;13050;15/08/2023 20:10:58;13,76;Débito;SAO PAULO
427511388707;331;11;34251;8094;03/06/2023 14:48:40;7,47;Crédito;LUIS EDUARDO
78254576062;331;11;32511;77260;03/06/2023 11:46:46;17,61;Crédito;PORTO ALEGRE
250561010390;331;11;93144;67877;03/06/2023 15:48:17;6,8;Crédito;ESTREITO
690702403582;331;11;72058;30071;03/06/2023 23:53:13;29,1;Crédito;NATAL
507366228964;331;11;90453;52194;03/06/2023 23:47:50;79,57;Crédito;PORTO ALEGRE
663988313885;640;16;22495;96718;15/08/2023 11:32:57;9,53;Débito;VITORIA
929057698602;640;19;81412;21762;15/08/2023 16:48:46;10,63;Débito;VITORIA
250561010390;331;19;26605;83629;03/06/2023 14:41:55;17,06;Débito;PORTO NACIONAL
24356165638;331;11;6680;4041;03/06/2023 15:30:31;82,77;Débito;PORTO ALEGRE
811071765628;331;11;6680;4041;03/06/2023 15:53:27;8,26;Débito;PORTO ALEGRE
731959689461;331;11;21401;97774;03/06/2023 15:22:57;31,44;Débito;CURITIBA
62221867028;640;19;99094;64669;03/06/2023 17:22:30;332,07;Débito;VITORIA
618330506683;640;16;7424;51387;15/08/2023 11:07:47;3,63;Débito;BARREIRAS
589434277566;331;04;58951;75618;03/06/2023 13:59:27;20,78;Débito;ESTREITO
78254576062;640;19;14552;82932;15/08/2023 09:52:36;114,75;Débito;VITORIA
437707388040;640;16;22495;96718;15/08/2023 11:38:06;11,91;Débito;VITORIA
576666004026;331;12;71923;60881;03/06/2023 23:31:00;48,04;Débito;
437237210374;640;15;60605;9908;03/06/2023 09:18:08;38,59;Débito;OSASCO
715516243636;640;12;10663;82434;03/06/2023 15:36:54;45,05;Débito;SAO PAULO
03105717060;640;19;30676;13040;03/06/2023 15:43:13;81,99;Débito;VITORIA
917100361826;331;12;6641;58971;03/06/2023 19:24:24;33,25;Débito;JURUENA
771648168185;331;19;95341;75447;03/06/2023 04:46:01;6,63;Débito;JURUENA
589434277566;331;15;89308;26849;03/06/2023 00:24:55;35,27;Débito;BELEM
260708728642;640;19;26229;58840;15/08/2023 15:04:57;165,7;Débito;
645273223384;331;04;36402;47637;03/06/2023 20:48:11;14,28;Débito;ESTREITO
193417607441;640;19;29025;64098;03/06/2023 18:05:46;28,14;Débito;VITORIA
715516243636;640;12;10663;82434;03/06/2023 13:13:30;64,03;Débito;SAO PAULO
630175370105;331;11;86399;71893;03/06/2023 23:31:47;18,62;Débito;NATAL
502373227522;331;11;5897;26399;03/06/2023 15:50:41;52,02;Débito;PORTO ALEGRE
589434277566;331;15;89308;26849;03/06/2023 14:47:20;48,05;Débito;BELEM
556114862652;331;19;34704;19579;15/08/2023 09:25:05;10,46;Débito;BRASILIA
547976863994;640;19;66708;16875;03/06/2023 22:19:15;15,27;Débito;VITORIA
491855554065;640;15;3204;79488;03/06/2023 16:57:11;8,03;Débito;SALVADOR
664055155875;640;15;71580;20300;15/08/2023 10:39:50;33,94;Débito;SAO PAULO
217399138948;331;12;21769;30199;15/08/2023 22:28:02;16,58;Débito;BELO HORIZONTE
845839476038;640;19;32782;99944;03/06/2023 12:28:57;35,07;Débito;VITORIA
811071765628;331;04;88150;37748;03/06/2023 17:32:40;36,09;Débito;ESTREITO
786846707144;331;12;71923;60881;03/06/2023 15:49:40;16,19;Débito;
970976143348;331;11;6680;4041;03/06/2023 15:50:58;10,42;Débito;PORTO ALEGRE
630175370105;331;11;86399;71893;03/06/2023 16:02:49;8,22;Débito;NATAL
917100361826;331;12;6641;58971;03/06/2023 15:21:17;18,31;Débito;BELO HORIZONTE
547976863994;640;19;66708;16875;03/06/2023 19:51:21;5,4;Débito;VITORIA
970976143348;331;11;6680;4041;03/06/2023 15:35:50;92,81;Débito;PORTO ALEGRE
653411939252;331;04;58951;75618;03/06/2023 18:17:01;4,92;Débito;ESTREITO
811071765628;331;04;88150;37748;03/06/2023 17:28:24;36,28;Débito;ESTREITO
226241838191;640;16;62728;95674;15/08/2023 11:58:58;182,53;Débito;CURITIBA
613085428546;331;11;21401;97774;03/06/2023 01:44:34;29,71;Débito;CURITIBA
815059351930;640;15;51364;66508;15/08/2023 07:58:56;20,19;Débito;RIO DE JANEIRO
614762168976;331;11;77060;43299;03/06/2023 14:03:48;46,23;Débito;PORTO ALEGRE
193417607441;640;19;29025;64098;03/06/2023 18:55:28;55,27;Débito;VITORIA
811071765628;331;04;88150;37748;03/06/2023 17:20:00;42,91;Débito;PORTO ALEGRE
571465324078;640;15;39950;75683;15/08/2023 15:31:14;3,83;Débito;RIO DE JANEIRO
845839476038;640;19;32782;99944;03/06/2023 21:07:33;70,48;Débito;VITORIA
970976143348;331;11;6680;4041;03/06/2023 15:16:46;8,17;Débito;PORTO ALEGRE
771648168185;331;19;95341;75447;03/06/2023 14:04:53;16,98;Débito;JURUENA
437237210374;640;15;60605;9908;03/06/2023 15:45:57;35,86;Débito;OSASCO
664055155875;640;15;71580;20300;15/08/2023 12:39:59;53,19;Débito;CAMPO GRANDE
100668978497;640;19;42684;51009;15/08/2023 23:01:06;25,86;Débito;VITORIA
547976863994;640;19;66708;16875;03/06/2023 16:31:41;66,45;Débito;VITORIA
547976863994;640;19;66708;16875;15/08/2023 17:07:41;45,28;Débito;VITORIA
613085428546;331;11;21401;97774;03/06/2023 14:49:54;7,03;Débito;SAO PAULO
811071765628;331;04;88150;37748;03/06/2023 15:00:47;8,68;Débito;ESTREITO
963407679166;331;11;5897;26399;03/06/2023 14:56:13;10,78;Débito;PORTO ALEGRE
556114862652;640;19;32782;99944;03/06/2023 22:03:17;12,37;Débito;VITORIA
547976863994;331;11;6680;4041;03/06/2023 21:35:19;33,46;Débito;PORTO ALEGRE
557421816337;640;19;30676;13040;03/06/2023 09:04:33;96,07;Débito;VITORIA
613085428546;640;15;51364;66508;15/08/2023 23:36:33;12,43;Débito;OSASCO
613085428546;331;19;95341;75447;03/06/2023 17:32:38;16,35;Débito;BRASILIA
963407679166;640;15;17511;91217;03/06/2023 00:14:29;47,85;Débito;RIO DE JANEIRO
324190386634;331;11;5897;26399;03/06/2023 15:05:47;7,78;Débito;PORTO ALEGRE
30004086836;331;15;89308;26849;15/08/2023 20:22:39;28,23;Débito;BELEM
851428470824;640;12;26579;97834;15/08/2023 13:51:20;10,03;Débito;SAO PAULO
963407679166;640;15;51364;66508;15/08/2023 23:12:27;41,62;Débito;OSASCO
774724913912;331;11;39691;98564;03/06/2023 21:13:03;1,89;Débito;PORTO ALEGRE
663988313885;331;19;95341;75447;03/06/2023 05:23:05;11,75;Débito;JURUENA
963407679166;331;12;71923;60881;03/06/2023 13:39:20;20,81;Débito;BELO HORIZONTE
742021665379;640;15;17511;91217;03/06/2023 00:11:20;47,36;Débito;RIO DE JANEIRO
742021665379;640;19;30676;13040;03/06/2023 15:32:48;422,16;Débito;VITORIA
177919269646;640;19;14552;82932;15/08/2023 08:57:48;303,05;Débito;VITORIA
814878020990;331;04;36402;47637;03/06/2023 20:45:03;28,59;Débito;ESTREITO
929057698602;640;19;30676;13040;03/06/2023 16:33:28;42,25;Débito;VITORIA
250561010390;640;19;14552;82932;15/08/2023 08:13:27;39,93;Débito;VITORIA
437707388040;331;11;21401;97774;03/06/2023 10:39:17;3,27;Débito;BARREIRAS
585224148692;523;15;24608;71226;15/08/2023 12:58:29;14,7;Débito;SALVADOR
791659053970;640;15;17511;91217;03/06/2023 00:11:03;54,99;Débito;RIO DE JANEIRO
970976143348;331;19;95341;75447;03/06/2023 05:42:58;13,19;Débito;JURUENA
56841977730;331;11;39691;98564;03/06/2023 14:25:52;3,41;Débito;PORTO ALEGRE
533657563587;331;04;88150;37748;03/06/2023 15:28:39;19,85;Débito;ESTREITO
149061348282;640;16;55919;27853;15/08/2023 18:01:11;30,7;Débito;BARREIRAS
930109302247;640;15;39950;75683;15/08/2023 16:18:59;32,6;Débito;RIO DE JANEIRO
844736147031;640;19;99094;64669;03/06/2023 15:35:57;194,22;Débito;VITORIA
557421816337;640;19;11174;90073;15/08/2023 11:12:20;136,31;Débito;VITORIA
774724913912;331;11;6680;4041;03/06/2023 15:31:19;3,42;Débito;PORTO ALEGRE
851428470824;640;12;25888;13050;15/08/2023 20:10:58;13,76;Débito;SAO PAULO
663988313885;640;16;22495;96718;15/08/2023 11:32:57;9,53;Débito;VITORIA
929057698602;640;19;81412;21762;15/08/2023 16:48:46;10,63;Débito;VITORIA
250561010390;331;19;26605;83629;03/06/2023 14:41:55;17,06;Débito;PORTO NACIONAL
24356165638;331;11;6680;4041;03/06/2023 15:30:31;82,77;Débito;PORTO ALEGRE
811071765628;331;11;6680;4041;03/06/2023 15:53:27;8,26;Débito;PORTO ALEGRE
731959689461;331;11;21401;97774;03/06/2023 15:22:57;31,44;Débito;CURITIBA
62221867028;640;19;99094;64669;03/06/2023 17:22:30;332,07;Débito;VITORIA
618330506683;640;16;7424;51387;15/08/2023 11:07:47;3,63;Débito;BARREIRAS
589434277566;331;04;58951;75618;03/06/2023 13:59:27;20,78;Débito;ESTREITO
78254576062;640;19;14552;82932;15/08/2023 09:52:36;114,75;Débito;VITORIA
437707388040;640;16;22495;96718;15/08/2023 11:38:06;11,91;Débito;VITORIA
576666004026;331;12;71923;60881;03/06/2023 23:31:00;48,04;Débito;
437237210374;640;15;60605;9908;03/06/2023 09:18:08;38,59;Débito;OSASCO
715516243636;640;12;10663;82434;03/06/2023 15:36:54;45,05;Débito;SAO PAULO
03105717060;640;19;30676;13040;03/06/2023 15:43:13;81,99;Débito;VITORIA
917100361826;331;12;6641;58971;03/06/2023 19:24:24;33,25;Débito;JURUENA
771648168185;331;19;95341;75447;03/06/2023 04:46:01;6,63;Débito;JURUENA
589434277566;331;15;89308;26849;03/06/2023 00:24:55;35,27;Débito;BELEM
260708728642;640;19;26229;58840;15/08/2023 15:04:57;165,7;Débito;
645273223384;331;04;36402;47637;03/06/2023 20:48:11;14,28;Débito;ESTREITO
193417607441;640;19;29025;64098;03/06/2023 18:05:46;28,14;Débito;VITORIA
715516243636;640;12;10663;82434;03/06/2023 13:13:30;64,03;Débito;SAO PAULO
630175370105;331;11;86399;71893;03/06/2023 23:31:47;18,62;Débito;NATAL
502373227522;331;11;5897;26399;03/06/2023 15:50:41;52,02;Débito;PORTO ALEGRE
589434277566;331;15;89308;26849;03/06/2023 14:47:20;48,05;Débito;BELEM
556114862652;331;19;34704;19579;15/08/2023 09:25:05;10,46;Débito;BRASILIA
547976863994;640;19;66708;16875;03/06/2023 22:19:15;15,27;Débito;VITORIA
491855554065;640;15;3204;79488;03/06/2023 16:57:11;8,03;Débito;SALVADOR
664055155875;640;15;71580;20300;15/08/2023 10:39:50;33,94;Débito;SAO PAULO
217399138948;331;12;21769;30199;15/08/2023 22:28:02;16,58;Débito;BELO HORIZONTE
845839476038;640;19;32782;99944;03/06/2023 12:28:57;35,07;Débito;VITORIA
811071765628;331;04;88150;37748;03/06/2023 17:32:40;36,09;Débito;ESTREITO
786846707144;331;12;71923;60881;03/06/2023 15:49:40;16,19;Débito;
970976143348;331;11;6680;4041;03/06/2023 15:50:58;10,42;Débito;PORTO ALEGRE
630175370105;331;11;86399;71893;03/06/2023 16:02:49;8,22;Débito;NATAL
917100361826;331;12;6641;58971;03/06/2023 15:21:17;18,31;Débito;BELO HORIZONTE
547976863994;640;19;66708;16875;03/06/2023 19:51:21;5,4;Débito;VITORIA
970976143348;331;11;6680;4041;03/06/2023 15:35:50;92,81;Débito;PORTO ALEGRE
507366228964;331;11;90453;52194;03/06/2023 13:38:24;95,72;Crédito;CURITIBA
557421816337;331;11;18677;57395;03/06/2023 15:21:08;8,36;Crédito;PORTO ALEGRE
949239435165;331;19;75964;17196;03/06/2023 14:12:24;13,98;Crédito;GOIANIA
250561010390;331;11;93144;67877;03/06/2023 20:45:42;6,53;Crédito;ESTREITO
250561010390;331;11;93144;67877;03/06/2023 10:18:31;14,17;Crédito;ESTREITO
78254576062;331;11;32511;77260;03/06/2023 23:08:11;24,24;Crédito;ESTREITO
963407679166;331;11;14384;98572;03/06/2023 15:49:38;69,85;Crédito;CURITIBA
149061348282;331;11;31317;47849;03/06/2023 14:36:15;16,63;Crédito;PORTO ALEGRE
690702403582;331;19;36600;47194;03/06/2023 14:38:01;2,36;Crédito;ESTREITO
557421816337;331;11;61636;55229;03/06/2023 13:57:35;91,93;Crédito;GOIANIA
953033981511;331;11;93144;67877;03/06/2023 10:12:24;7,38;Crédito;ESTREITO
149061348282;331;11;93144;67877;03/06/2023 18:25:36;6,51;Crédito;ESTREITO
827045297905;331;15;44727;43086;03/06/2023 14:11:09;13,55;Crédito;ESTREITO
953033981511;331;11;72058;30071;03/06/2023 11:26:20;188,71;Crédito;NATAL
226774898261;331;11;34866;19102;03/06/2023 15:20:45;35,33;Crédito;NATAL
791659053970;331;11;93144;67877;03/06/2023 09:48:56;10,42;Crédito;ESTREITO
844736147031;331;15;44727;43086;03/06/2023 14:36:43;17,53;Crédito;ESTREITO
708488936962;331;11;93144;67877;03/06/2023 15:26:03;9,06;Crédito;ESTREITO
585224148692;331;11;93144;67877;03/06/2023 18:54:58;12,77;Crédito;ESTREITO
736156096495;331;19;14865;59049;03/06/2023 14:43:46;37,29;Crédito;BRASILIA
226774898261;331;16;22294;85722;03/06/2023 10:28:55;139,11;Crédito;CAMARGO
78254576062;331;11;32511;77260;03/06/2023 14:58:43;23,33;Crédito;PORTO ALEGRE
250561010390;331;11;93144;67877;03/06/2023 09:54:23;5,3;Crédito;ESTREITO
250561010390;331;11;93144;67877;03/06/2023 20:34:56;22,15;Crédito;ESTREITO
250561010390;331;11;93144;67877;03/06/2023 15:13:36;10,55;Crédito;ESTREITO
437707388040;331;11;54676;15631;03/06/2023 15:22:26;15,17;Crédito;OSASCO
250561010390;331;11;93144;67877;03/06/2023 15:48:17;6,8;Crédito;ESTREITO
690702403582;331;11;72058;30071;03/06/2023 23:53:13;29,1;Crédito;NATAL
217399138948;331;12;21769;30199;15/08/2023 21:02:16;45,55;Débito;BELO HORIZONTE
577766380628;331;12;57859;68354;08/07/2023 01:10:54;854,26;CREDITO;ESTREITO
827045297905;331;15;44727;43086;28/09/2022 11:32:26;747,85;CREDITO;PORTO ALEGRE
396872818177;331;11;61926;59869;17/04/2023 22:31:33;797,41;CREDITO;CURITIBA
125225873262;331;16;52769;90225;13/06/2023 13:33:32;835,37;CREDITO;SALVADOR
491855554065;640;15;3204;79488;16/06/2023 20:07:11;724,25;DEBITO;SAO PAULO
542107347798;331;04;99353;38407;03/04/2023 19:03:43;948,59;CREDITO;CURITIBA
367742642571;640;19;20131;19384;26/04/2023 17:35:31;1123,65;DEBITO;VITORIA
963407679166;331;11;14384;98572;10/10/2022 13:50:34;1251,8;CREDITO;CAMARGO
618330506683;331;19;6819;8440;10/09/2022 22:54:46;1830,11;CREDITO;GOIANIA
176000898936;331;12;9406;53684;05/06/2023 21:48:30;1828,72;DEBITO;BARUERI
201290328698;331;11;24707;11641;04/05/2023 14:30:13;315,94;CREDITO;ESTREITO
201290328698;331;11;24707;11641;12/05/2023 14:50:38;141,67;CREDITO;BELO HORIZONTE
657039639274;640;19;71305;68692;09/08/2023 12:18:02;36,83;DEBITO;VITORIA
851961098507;640;19;73801;83626;11/08/2023 20:19:48;284,09;DEBITO;VITORIA
403384871214;640;12;93099;51292;14/08/2023 18:45:06;7,68;DEBITO;SAO PAULO
582758325569;640;16;89654;39269;14/08/2023 09:37:19;17,41;DEBITO;BARREIRAS
530891897761;640;19;14552;82932;14/08/2023 16:26:01;478,82;DEBITO;VITORIA
100668978497;640;19;42684;51009;12/08/2023 19:22:09;7,2;DEBITO;VITORIA
244700888582;640;19;18056;15316;11/08/2023 17:09:00;16,69;DEBITO;VITORIA
851961098507;640;19;73801;83626;09/08/2023 20:21:25;446,73;DEBITO;
568113987094;640;16;39931;88690;07/08/2023 18:06:01;75,09;DEBITO;BELO HORIZONTE
715516243636;640;12;10663;82434;06/08/2023 10:40:22;25,37;DEBITO;SAO PAULO
122383471239;640;15;90248;85640;04/08/2023 15:16:55;26,83;DEBITO;RIO DE JANEIRO
585224148692;331;12;5363;95187;06/07/2023 17:28:59;77,57;DEBITO;
428284822070;331;15;56308;20007;13/07/2022 19:42:25;0,43;CREDITO;ESTREITO
428284822070;331;15;56308;20007;13/07/2022 20:07:44;0,56;CREDITO;ESTREITO
428284822070;331;15;56308;20007;13/07/2022 21:01:56;0,57;CREDITO;ESTREITO
428284822070;331;15;56308;20007;13/07/2022 20:58:16;0,44;CREDITO;ESTREITO
428284822070;331;15;56308;20007;13/07/2022 20:19:36;0,55;CREDITO;ESTREITO
428284822070;331;15;56308;20007;13/07/2022 19:35:51;0,45;CREDITO;ESTREITO
428284822070;331;15;56308;20007;13/07/2022 21:22:20;0,53;CREDITO;ESTREITO
428284822070;331;15;56308;20007;13/07/2022 20:48:39;0,43;CREDITO;ESTREITO
747187507574;331;11;61636;55229;12/10/2022 11:17:17;1,18;CREDITO;CURITIBA
127088177802;331;19;52013;78311;21/10/2022 12:02:24;1,41;DEBITO;JURUENA
149061348282;331;11;31317;47849;14/03/2023 19:50:34;1,47;CREDITO;PORTO ALEGRE
845321722235;331;04;44157;19189;23/11/2022 23:15:03;2,3;CREDITO;ESTREITO
791659053970;331;11;43276;68299;23/03/2023 14:31:46;2,05;CREDITO;PORTO ALEGRE
78254576062;331;11;44558;75517;16/08/2022 12:46:42;1,97;DEBITO;BRASILIA
97448237692;331;19;85515;99987;20/08/2022 12:59:16;1,71;DEBITO;BRASILIA
613085428546;331;11;21401;85932;06/08/2022 21:34:05;2,45;DEBITO;PORTO ALEGRE
348283102843;331;12;53972;42961;07/09/2022 12:23:27;2,84;DEBITO;SALVADOR
