num_cpf_cnpj;des_nome_associado;dat_associacao;cod_faixa_renda;des_faixa_renda
577766380628;DONATO IMPERIAL;11/12/2018;3;MÉDIA ALTA
827045297905;DIRCEU TRISTÁN;20/12/2018;2;MÉDIA
396872818177;GLAUCO ANDRADE;19/12/2018;2;MÉDIA
125225873262;CARLOS PORCIÚNCULA;10/12/2018;1;BAIXA
491855554065;SEBASTIÃO INÁCIO;10/02/2019;2;MÉDIA
542107347798;VANESSA BOAVENTURA;27/12/2018;2;MÉDIA
367742642571;AARÃO CARQUEIJEIRO;06/01/2019;2;MÉDIA
963407679166;SELMA GODÓI;21/12/2018;3;MÉDIA ALTA
618330506683;INAIÁ SARAIVA;15/12/2018;2;MÉDIA
176000898936;ZURIEL MADUREIRA;09/11/2019;2;MÉDIA
201290328698;JOSIAS LOUSADO;10/12/2018;4;ALTA
657039639274;CLAUDEMIRA CARNEIRO;25/03/2019;2;MÉDIA
851961098507;CATARINA BULHOSA;07/12/2018;2;MÉDIA
403384871214;FLÁVIA CAYADO;29/12/2019;2;MÉDIA
582758325569;ODILIA ASSUMPÇÃO;19/04/2019;1;BAIXA
217399138948;LÉIA BETANCOUR;02/12/2018;2;MÉDIA
530891897761;NEUZA COUTINHO;27/04/2019;1;BAIXA
100668978497;DÉBORA BARROCAS;19/04/2019;1;BAIXA
244700888582;BIBIANA ESTÉVEZ;17/03/2019;2;MÉDIA
568113987094;DINIS TORCUATO;23/12/2018;1;BAIXA
715516243636;TOBIAS CARMONA;08/12/2018;3;MÉDIA ALTA
122383471239;SÍLVIA IPIRANGA;14/01/2019;2;MÉDIA
585224148692;QUIRINO BARBOZA;14/12/2018;2;MÉDIA
428284822070;ANIND COUTINHO;13/12/2018;3;MÉDIA ALTA
747187507574;ESPERANÇA VELÁZQUEZ;17/12/2018;2;MÉDIA
127088177802;FELISBELA CUSTÓDIO;08/12/2018;2;MÉDIA
149061348282;ELISEU MARINHO;16/11/2018;2;MÉDIA
845321722235;GUEDA GOES;19/12/2018;1;BAIXA
791659053970;SIDÓNIO QUINTANILLA;13/12/2018;1;BAIXA
78254576062;AMÉRICO CARRILHO;01/12/2018;3;MÉDIA ALTA
97448237692;GLÁUCIO PEIXOTO;04/01/2019;2;MÉDIA
613085428546;HERNÂNI FIGUEIRÓ;11/11/2018;2;MÉDIA
348283102843;GILBERTO MENDONÇA;05/02/2019;1;BAIXA
953033981511;GUILHERME LESSA;09/12/2018;1;BAIXA
427511388707;FÁBIO FERRERA;11/12/2018;1;BAIXA
437707388040;BRANCO PÊCEGO;18/12/2018;3;MÉDIA ALTA
502373227522;FLORA PAJARES;28/12/2018;2;MÉDIA
437237210374;VALENTINA BARROSO;06/01/2019;2;MÉDIA
191703465455;DELFINA BESSA;04/12/2018;2;MÉDIA
742021665379;VANDERLEI FRANÇA;15/11/2018;2;MÉDIA
576666004026;DINIS PORTELA;15/12/2018;2;MÉDIA
557421816337;REMO VILARIM;07/12/2018;3;MÉDIA ALTA
624885242322;BELMIRO BENTO;21/12/2018;1;BAIXA
235851474194;CORINA OLIVARES;25/12/2018;1;BAIXA
340029274057;NICOLAS FARIA;31/01/2019;2;MÉDIA
250561010390;ARACHANE ALMEIDA;06/12/2018;3;MÉDIA ALTA
690702403582;ADOSINDO ESPARTEIRO;06/12/2018;3;MÉDIA ALTA
